Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
Beagle,LOS,-1,0,0.05,0.1%~0.5%,52524,0.997302667,0.928446333,0.747695,0.749083667,0.748376333,0.926322333,0.913822667,0.749267333,0.749235333,0.749251
Beagle,LOS,-1,0,0.05,0.5%~1%,20151,0.993303333,0.932291,0.745556667,0.746063333,0.745791667,0.926322333,0.913822667,0.749267333,0.749235333,0.749251
Beagle,LOS,-1,0,0.05,1%~10%,54011,0.962295667,0.917809333,0.749819,0.749513667,0.749666,0.926322333,0.913822667,0.749267333,0.749235333,0.749251
Beagle,LOS,-1,0,0.05,10%~20%,19838,0.875118667,0.899169667,0.749596667,0.749557667,0.749574333,0.926322333,0.913822667,0.749267333,0.749235333,0.749251
Beagle,LOS,-1,0,0.05,20%~30%,15717,0.814429333,0.868604333,0.749378,0.749399333,0.749388333,0.926322333,0.913822667,0.749267333,0.749235333,0.749251
Beagle,LOS,-1,0,0.05,30%~40%,13401,0.773773333,0.836715667,0.748814333,0.748875667,0.748844333,0.926322333,0.913822667,0.749267333,0.749235333,0.749251
Beagle,LOS,-1,0,0.05,40%~50%,12757,0.753694333,0.814428333,0.748569667,0.748654333,0.748610333,0.926322333,0.913822667,0.749267333,0.749235333,0.749251
Beagle,LOS,-1,0,0.15,0.1%~0.5%,52524,0.997184,0.918146,0.744722,0.743489,0.744099667,0.926092,0.911844667,0.749521333,0.749281,0.749400667
Beagle,LOS,-1,0,0.15,0.5%~1%,20151,0.993138,0.923479333,0.747691,0.744047333,0.745841667,0.926092,0.911844667,0.749521333,0.749281,0.749400667
Beagle,LOS,-1,0,0.15,1%~10%,54011,0.961743,0.913647,0.748612333,0.747436667,0.748021,0.926092,0.911844667,0.749521333,0.749281,0.749400667
Beagle,LOS,-1,0,0.15,10%~20%,19838,0.874919333,0.897033333,0.750093,0.749941333,0.750016333,0.926092,0.911844667,0.749521333,0.749281,0.749400667
Beagle,LOS,-1,0,0.15,20%~30%,15717,0.814065333,0.866460667,0.749240333,0.749334333,0.749286333,0.926092,0.911844667,0.749521333,0.749281,0.749400667
Beagle,LOS,-1,0,0.15,30%~40%,13401,0.773718333,0.834516,0.748748,0.748990333,0.748868667,0.926092,0.911844667,0.749521333,0.749281,0.749400667
Beagle,LOS,-1,0,0.15,40%~50%,12757,0.754201,0.812550333,0.748864,0.749208,0.749034667,0.926092,0.911844667,0.749521333,0.749281,0.749400667
Beagle,LOS,-1,0,0.25,0.1%~0.5%,52524,0.997089,0.907392667,0.745194,0.739623667,0.74236,0.925435667,0.909083667,0.748424667,0.747917,0.748167667
Beagle,LOS,-1,0,0.25,0.5%~1%,20151,0.992853,0.914145667,0.744341667,0.73758,0.740893333,0.925435667,0.909083667,0.748424667,0.747917,0.748167667
Beagle,LOS,-1,0,0.25,1%~10%,54011,0.961382333,0.909354667,0.749113,0.746715333,0.747904,0.925435667,0.909083667,0.748424667,0.747917,0.748167667
Beagle,LOS,-1,0,0.25,10%~20%,19838,0.873646667,0.893803,0.748510333,0.748214667,0.748359,0.925435667,0.909083667,0.748424667,0.747917,0.748167667
Beagle,LOS,-1,0,0.25,20%~30%,15717,0.8126,0.863058667,0.747597333,0.747800667,0.747697667,0.925435667,0.909083667,0.748424667,0.747917,0.748167667
Beagle,LOS,-1,0,0.25,30%~40%,13401,0.772099333,0.830823333,0.746875667,0.747384667,0.747128,0.925435667,0.909083667,0.748424667,0.747917,0.748167667
Beagle,LOS,-1,0,0.25,40%~50%,12757,0.752366667,0.808554333,0.746669667,0.747376667,0.747020333,0.925435667,0.909083667,0.748424667,0.747917,0.748167667
SCDA,LOS,-1,0,0.05,0.1%~0.5%,52524,0.985772667,0.321939333,0.505302667,0.916639333,0.618047,0.964787,0.845546667,0.921303667,0.911296667,0.916245
SCDA,LOS,-1,0,0.05,0.5%~1%,20151,0.984371333,0.538390667,0.665206333,0.913826,0.760105667,0.964787,0.845546667,0.921303667,0.911296667,0.916245
SCDA,LOS,-1,0,0.05,1%~10%,54011,0.974518,0.797655667,0.877608333,0.899404667,0.888287,0.964787,0.845546667,0.921303667,0.911296667,0.916245
SCDA,LOS,-1,0,0.05,10%~20%,19838,0.945306333,0.846289333,0.927661667,0.903536333,0.915169,0.964787,0.845546667,0.921303667,0.911296667,0.916245
SCDA,LOS,-1,0,0.05,20%~30%,15717,0.931427,0.833384333,0.933611333,0.912435,0.922274,0.964787,0.845546667,0.921303667,0.911296667,0.916245
SCDA,LOS,-1,0,0.05,30%~40%,13401,0.922914667,0.809496,0.929276667,0.91664,0.921613333,0.964787,0.845546667,0.921303667,0.911296667,0.916245
SCDA,LOS,-1,0,0.05,40%~50%,12757,0.921629333,0.797036333,0.926913,0.920459667,0.921828667,0.964787,0.845546667,0.921303667,0.911296667,0.916245
SCDA,LOS,-1,0,0.15,0.1%~0.5%,52524,0.981317667,0.231976,0.455835667,0.872039667,0.557706667,0.947314333,0.748647,0.907566667,0.861209333,0.883318
SCDA,LOS,-1,0,0.15,0.5%~1%,20151,0.978744333,0.410904333,0.604979667,0.846705,0.694363333,0.947314333,0.748647,0.907566667,0.861209333,0.883318
SCDA,LOS,-1,0,0.15,1%~10%,54011,0.964023,0.695236667,0.855160333,0.849717333,0.852359333,0.947314333,0.748647,0.907566667,0.861209333,0.883318
SCDA,LOS,-1,0,0.15,10%~20%,19838,0.91876,0.74596,0.916267,0.854694667,0.882878667,0.947314333,0.748647,0.907566667,0.861209333,0.883318
SCDA,LOS,-1,0,0.15,20%~30%,15717,0.892890667,0.717642333,0.91559,0.862128667,0.884727333,0.947314333,0.748647,0.907566667,0.861209333,0.883318
SCDA,LOS,-1,0,0.15,30%~40%,13401,0.877101,0.681613333,0.903681,0.866699,0.878877333,0.947314333,0.748647,0.907566667,0.861209333,0.883318
SCDA,LOS,-1,0,0.15,40%~50%,12757,0.872140333,0.661377,0.896742667,0.870151333,0.875262333,0.947314333,0.748647,0.907566667,0.861209333,0.883318
SCDA,LOS,-1,0,0.25,0.1%~0.5%,52524,0.978396667,0.177993667,0.427390667,0.824421,0.519253,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,0.5%~1%,20151,0.975038,0.327449333,0.568570667,0.796238667,0.65163,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,1%~10%,54011,0.954244,0.600907667,0.836996667,0.796145333,0.815638667,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,10%~20%,19838,0.890377333,0.646688,0.905661333,0.800797,0.845644333,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,20%~30%,15717,0.850977667,0.607376333,0.899571333,0.806805667,0.842086667,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,30%~40%,13401,0.827027667,0.565238333,0.882840333,0.811972,0.832003667,0.929565,0.65369,0.895476667,0.806555333,0.846895
SCDA,LOS,-1,0,0.25,40%~50%,12757,0.817668,0.540726,0.873122,0.814756333,0.825037,0.929565,0.65369,0.895476667,0.806555333,0.846895
BiUNet,LOS,128,16,0.05,0.1%~0.5%,52524,0.999959333,0.997012667,0.998302667,0.997185333,0.997743667,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,0.5%~1%,20151,0.999797,0.994639,0.997799,0.993801667,0.995793,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,1%~10%,54011,0.998348,0.990746333,0.996382333,0.990979667,0.993664667,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,10%~20%,19838,0.997757,0.995308667,0.997116333,0.996593,0.996854333,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,20%~30%,15717,0.997685,0.995690333,0.997484667,0.997458,0.997471,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,30%~40%,13401,0.997659667,0.995441333,0.99763,0.997640333,0.997635,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.05,40%~50%,12757,0.997664,0.995263667,0.997659333,0.997667333,0.997663333,0.998739333,0.996162,0.997585,0.996720667,0.997152
BiUNet,LOS,128,16,0.15,0.1%~0.5%,52524,0.999525667,0.967383333,0.996197667,0.958038667,0.976371667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,0.5%~1%,20151,0.998201,0.953498,0.993646333,0.935359333,0.962678667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,1%~10%,54011,0.995033333,0.972105667,0.989582667,0.972646,0.980949667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,10%~20%,19838,0.993105333,0.985485333,0.99131,0.989519333,0.990410667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,20%~30%,15717,0.992916333,0.986776,0.992376333,0.992213,0.992294,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,30%~40%,13401,0.992857333,0.986095667,0.992775667,0.992799667,0.992787,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.15,40%~50%,12757,0.992890333,0.985539,0.992879333,0.992901,0.992889667,0.995945333,0.987623667,0.992744,0.989231,0.990977333
BiUNet,LOS,128,16,0.25,0.1%~0.5%,52524,0.999098667,0.939227,0.993963,0.919311,0.953622,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,0.5%~1%,20151,0.997161667,0.926655333,0.989701667,0.89786,0.939018667,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,1%~10%,54011,0.991591333,0.952855333,0.982711,0.953072333,0.967371,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,10%~20%,19838,0.987890333,0.974530333,0.985022667,0.981316333,0.983153333,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,20%~30%,15717,0.987401667,0.976587333,0.986545667,0.986032333,0.986286667,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,30%~40%,13401,0.987320333,0.975405333,0.987197333,0.987195,0.987194667,0.992958333,0.978561,0.987501667,0.981107333,0.984271333
BiUNet,LOS,128,16,0.25,40%~50%,12757,0.987473,0.974640667,0.987457,0.987488,0.987470667,0.992958333,0.978561,0.987501667,0.981107333,0.984271333